subject_code,section_code,mode,test_slug,question_id,prompt,choiceA,choiceB,choiceC,choiceD,choiceE,correct,explanation,difficulty,tags,image_url
APMACRO,FS,SECTION,,Q529,Suppose yesterday the euro was trading on the foreign exchange market at $1.36 U.S. and today it is trading at $1.40 U.S. Which of the following is true?,The U.S. dollar has appreciated.,The euro has depreciated.,Interest rates in the United States have decreased.,The demand for U.S. products has decreased.,The euro has appreciated.,E,"E   Because the euro is now worth more in dollars, it has appreciated. The correct answer is (E).",,,
APMACRO,EIBC,SECTION,,Q530,"In order to reduce or eliminate crowding out, expansionary fiscal policy can be accompanied by",an increase in government spending,a decrease in investment,expansionary monetary policy,contractionary monetary policy,an increase in the interest rate,C,"C   Crowding out occurs when an increase in government spending (which constitutes expansionary fiscal policy) increases the interest rate and decreases investment. Thus, an increase in government spending, a decrease in investment, or an increase in the interest rate would all make the problem continue. Contractionary monetary policy would only increase the interest rate more, but expansionary monetary policy could relieve upward pressures on the interest rate and diminish the crowding out effect.",,,
APMACRO,NIPD,SECTION,,Q531,"In order to go from national income to GDP, one must",add depreciation expenses,add indirect taxes,subtract subsidies,add the net income of foreigners,all of the above,E,"E   Depreciation expenses are subtracted from corporate profits before the NI calculation, so they must be added to capture the value of output needed to replace or repair worn-out buildings and machinery. Indirect taxes are part of the expenditure on goods and services (GDP) but they do not become income for suppliers of productive services (NI) so they must be added to NI to find GDP. Subsidy payments are part of NI but are not made in exchange for goods and services so they must be subtracted from NI to find GDP. Finally, GDP includes the income of foreigners working within the country whose GDP is being calculated but not the income of citizens working abroad. Thus, the net income of foreigners must be added to NI to obtain GDP.",,,
APMACRO,EIBC,SECTION,,Q532,Which of the following creates the trade-offdepicted by the Phillips curve?,A rightward shift in the aggregate supply curve,An increase in input costs that corresponds with an increase in unemployment,An increase in output that corresponds with a decrease in the price level,A leftward shift in the aggregate supply curve,A rightward shift in the aggregate demand curve,E,"E   The Phillips curve depicts a trade-off between inflation and unemploymentâwhen one increases, the other decreases. Shifts in the aggregate supply curve result in inflation and unemployment both increasing or both decreasing. An increase in input costs will shift AS to the left and increase the price level; the corresponding increase in unemployment creates a positive relationship between inflation and unemployment, not a trade-off. An increase in output decreases unemployment. When this is accompanied by a decrease in the price level, again no trade-off between inflation and unemployment results. It is a shift in the AD curve that causes inflation to increase and unemployment to decrease or vice versa.",,,
APMACRO,EIBC,SECTION,,Q533,The natural rate of unemployment,includes structural and frictional unemployment,includes cyclical and frictional unemployment,includes structural and cyclical unemployment,"includes structural, frictional, and cyclical unemployment",is around 1 percent,A,"A   The natural rate of unemployment, which historically in the U.S. has been around five percent, is the sum of structural and frictional unemployment.",,,
APMACRO,BEC,SECTION,,Q534,"According to Say's law,","when price goes up, supply goes up",it is better to give than receive,demand creates its own supply,supply creates its own demand,demand and supply are mutually independent,D,"D   Classical economists believe in Say's law, which suggests that when supplying goods, workers earn money to spend or save, and savings end up being borrowed and spent. Thus, they say that supply creates its own demand.",,,
APMACRO,LRCSP,SECTION,,Q535,A budget deficit exists when,the total amount that the government owes at a given time is positive,government spending exceeds tax collections for a given period,exports exceed imports in a given year,imports exceed exports in a given year,the total amount that the government owes at a given time is negative,B,"B   The total amount that the government owes at a given time has to do with the national debt, not the balance of the budget. Exports compared with imports have to do with the trade surplus or deficit. Whether a budget deficit exists is based on the difference between government spending and tax collections for a given period (usually a year). If the government spends more than it collects in taxes, there is a deficit. If it spends less than it collects in taxes, there is a surplus. If it spends the same amount that it collects, then the budget is said to be ""balanced.""",,,
APMACRO,NIPD,SECTION,,Q536,The money supply will increase as a result of which of the following?,A decrease in the required reserve ratio,An increase in the discount rate,The selling of bonds by the Federal Reserve,An increase in the fraction of deposits that must be held by banks,An increase in income taxes,A,"A   A decrease in the required reserve ratio will allow banks to loan out more of their deposits and increase the money multiplier, thus increasing the money supply. Each of the other actions will decrease the money supply, with the exception of the income tax increase, which results in a transfer of money from individuals to the government.",,,
APMACRO,EIBC,SECTION,,Q538,The government measures inflation using the,GNP,URL,CPI,FED,GDP,C,"C   Inflation is measured by the Consumer Price Index (CPI); therefore, the answer is (C).",,,
APMACRO,EIBC,SECTION,,Q539,A dark room technician who develops film into photographs loses his job because few people use film cameras any more. This is an example of which of the following?,Frictional unemployment,Structural unemployment,Cyclical unemployment,Seasonal unemployment,Discouraged workers,B,"B   Structural unemployment is when someone cannot find a job because his or her type of labor is no longer demanded. Structural unemployment is usually related to outdated technologies (such as telegraphs, typewriters, etc.) or jobs that are no longer as common (such as switchboard operators and typists).",,,
